year_month,n_reviews,avg_compound,avg_pos,avg_neg,pct_positive,pct_negative,pct_neutral,avg_star_rating,year_month_str,date
2004-08,1,0.99,0.357,0.016,100.0,0.0,0.0,5.0,2004-08,2004-08-01
2004-09,1,0.991,0.253,0.039,100.0,0.0,0.0,4.0,2004-09,2004-09-01
2005-03,2,0.973,0.29,0.003,100.0,0.0,0.0,3.5,2005-03,2005-03-01
2005-08,1,0.376,0.155,0.0,100.0,0.0,0.0,2.0,2005-08,2005-08-01
2007-10,1,0.996,0.248,0.015,100.0,0.0,0.0,5.0,2007-10,2007-10-01
2007-11,1,-0.195,0.045,0.055,0.0,100.0,0.0,4.0,2007-11,2007-11-01
2008-03,1,0.986,0.154,0.02,100.0,0.0,0.0,1.0,2008-03,2008-03-01
2008-11,1,0.995,0.21,0.019,100.0,0.0,0.0,4.0,2008-11,2008-11-01
2009-02,1,0.936,0.197,0.033,100.0,0.0,0.0,5.0,2009-02,2009-02-01
2009-03,1,0.974,0.361,0.0,100.0,0.0,0.0,4.0,2009-03,2009-03-01
2009-05,1,0.995,0.202,0.052,100.0,0.0,0.0,4.0,2009-05,2009-05-01
2009-08,1,0.991,0.273,0.024,100.0,0.0,0.0,3.0,2009-08,2009-08-01
2009-09,1,0.88,0.172,0.053,100.0,0.0,0.0,3.0,2009-09,2009-09-01
2010-03,1,0.98,0.151,0.01,100.0,0.0,0.0,5.0,2010-03,2010-03-01
2010-07,1,0.966,0.252,0.016,100.0,0.0,0.0,4.0,2010-07,2010-07-01
2010-09,1,0.992,0.287,0.013,100.0,0.0,0.0,5.0,2010-09,2010-09-01
2010-10,1,0.836,0.11,0.089,100.0,0.0,0.0,2.0,2010-10,2010-10-01
2011-02,1,0.989,0.264,0.0,100.0,0.0,0.0,4.0,2011-02,2011-02-01
2011-03,1,0.96,0.262,0.0,100.0,0.0,0.0,4.0,2011-03,2011-03-01
2011-04,1,0.862,0.118,0.047,100.0,0.0,0.0,3.0,2011-04,2011-04-01
2011-05,1,0.894,0.128,0.054,100.0,0.0,0.0,3.0,2011-05,2011-05-01
2011-06,5,0.968,0.216,0.026,100.0,0.0,0.0,4.4,2011-06,2011-06-01
2011-07,2,0.953,0.422,0.016,100.0,0.0,0.0,4.5,2011-07,2011-07-01
2011-08,2,0.988,0.294,0.031,100.0,0.0,0.0,4.5,2011-08,2011-08-01
2011-09,2,0.988,0.279,0.038,100.0,0.0,0.0,5.0,2011-09,2011-09-01
2011-11,5,0.96,0.237,0.027,100.0,0.0,0.0,4.4,2011-11,2011-11-01
2011-12,1,0.981,0.187,0.029,100.0,0.0,0.0,4.0,2011-12,2011-12-01
2012-01,1,0.942,0.451,0.074,100.0,0.0,0.0,4.0,2012-01,2012-01-01
2012-02,4,0.974,0.251,0.025,100.0,0.0,0.0,4.0,2012-02,2012-02-01
2012-03,6,0.919,0.249,0.049,100.0,0.0,0.0,4.167,2012-03,2012-03-01
2012-04,7,0.955,0.28,0.015,100.0,0.0,0.0,4.286,2012-04,2012-04-01
2012-05,7,0.97,0.261,0.012,100.0,0.0,0.0,4.714,2012-05,2012-05-01
2012-06,3,0.967,0.26,0.01,100.0,0.0,0.0,4.667,2012-06,2012-06-01
2012-07,8,0.935,0.202,0.023,100.0,0.0,0.0,4.5,2012-07,2012-07-01
2012-08,9,0.911,0.252,0.029,100.0,0.0,0.0,4.222,2012-08,2012-08-01
2012-09,10,0.742,0.257,0.056,90.0,10.0,0.0,4.1,2012-09,2012-09-01
2012-10,11,0.901,0.243,0.033,100.0,0.0,0.0,4.364,2012-10,2012-10-01
2012-11,6,0.972,0.257,0.012,100.0,0.0,0.0,4.667,2012-11,2012-11-01
2012-12,3,0.954,0.212,0.0,100.0,0.0,0.0,5.0,2012-12,2012-12-01
2013-01,7,0.985,0.304,0.009,100.0,0.0,0.0,4.286,2013-01,2013-01-01
2013-02,8,0.976,0.238,0.012,100.0,0.0,0.0,4.5,2013-02,2013-02-01
2013-03,8,0.867,0.227,0.026,100.0,0.0,0.0,4.625,2013-03,2013-03-01
2013-04,10,0.784,0.214,0.04,90.0,10.0,0.0,4.3,2013-04,2013-04-01
2013-05,9,0.933,0.183,0.01,100.0,0.0,0.0,4.0,2013-05,2013-05-01
2013-06,5,0.94,0.207,0.027,100.0,0.0,0.0,4.4,2013-06,2013-06-01
2013-07,9,0.982,0.239,0.035,100.0,0.0,0.0,4.0,2013-07,2013-07-01
2013-08,6,0.803,0.235,0.024,100.0,0.0,0.0,4.5,2013-08,2013-08-01
2013-09,6,0.96,0.209,0.029,100.0,0.0,0.0,3.5,2013-09,2013-09-01
2013-10,3,0.765,0.171,0.056,100.0,0.0,0.0,4.0,2013-10,2013-10-01
2013-11,4,0.164,0.168,0.058,50.0,50.0,0.0,3.25,2013-11,2013-11-01
2013-12,6,0.957,0.241,0.024,100.0,0.0,0.0,4.333,2013-12,2013-12-01
2014-01,2,0.845,0.19,0.066,100.0,0.0,0.0,4.0,2014-01,2014-01-01
2014-02,6,0.966,0.29,0.022,100.0,0.0,0.0,4.167,2014-02,2014-02-01
2014-03,4,0.981,0.209,0.02,100.0,0.0,0.0,4.75,2014-03,2014-03-01
2014-04,5,0.979,0.32,0.022,100.0,0.0,0.0,4.6,2014-04,2014-04-01
2014-05,10,0.965,0.302,0.023,100.0,0.0,0.0,4.1,2014-05,2014-05-01
2014-06,5,0.964,0.256,0.037,100.0,0.0,0.0,3.8,2014-06,2014-06-01
